,child,session,trial_num,trial_type,stim_type,confidence,iCatcher_on(s),iCatcher_off(s),t_spent_off_at_trial_end,parentEnded
0,QdY3DB,,1.0,fam,barrier-jump,0.8363455999337259,32.368,0.0,0.0,False
1,QdY3DB,,2.0,testA,barrier-jump,0.8584428190177853,42.984,1.663,0.0,False
2,QdY3DB,,3.0,fam,pit,0.8988701847895068,25.92,4.929,0.0,False
3,QdY3DB,,4.0,testB,pit,0.8075145389407109,41.07,3.138,3.411,False
4,QdY3DB,,5.0,fam,barrier-around,0.8970039870355513,37.954,0.0,0.0,False
5,QdY3DB,,6.0,testB,barrier-around,0.9117068485866068,41.474,2.783,1.855,False
6,QdY3DB,,7.0,fam,pit-bridge,0.8576760391147793,26.399,2.653,0.0,False
7,QdY3DB,,8.0,testA,pit-bridge,0.8942911591347273,28.653,14.881,0.32,False
8,RKN6KW,,1.0,fam,pit,0.8781303088659438,28.091,2.327,0.0,False
9,RKN6KW,,2.0,testA,pit,0.8524083707571855,37.59,5.908,0.0,False
10,RKN6KW,,3.0,fam,pit-bridge,0.856534426153843,23.842,4.981,2.112,False
11,RKN6KW,,4.0,testB,pit-bridge,0.8773074929487138,33.915,9.374,1.459,False
12,RKN6KW,,5.0,fam,barrier-jump,0.8431341247436143,21.059,9.632,2.848,False
13,RKN6KW,,6.0,testB,barrier-jump,0.9029066314299902,31.518,11.458,0.208,False
14,RKN6KW,,7.0,fam,barrier-around,0.9086950337293588,27.336,9.395,2.932,False
15,RKN6KW,,8.0,testA,barrier-around,0.8993149961839709,40.559,3.091,0.0,False
16,TGA6G7,,1.0,fam,pit,0.8560860989891531,25.015,3.797,1.906,False
17,TGA6G7,,2.0,testA,pit,0.8424624678943138,35.749,5.826,1.003,False
18,TGA6G7,,3.0,fam,pit-bridge,0.8829976924678735,28.107,1.206,0.0,False
19,TGA6G7,,4.0,testB,pit-bridge,0.8766856454312801,38.292,5.405,0.0,False
20,TGA6G7,,5.0,fam,barrier-jump,0.8925651785150264,31.387,0.591,0.0,False
21,TGA6G7,,6.0,testB,barrier-jump,0.8503618572027453,29.479,12.946,0.096,False
22,TGA6G7,,7.0,fam,barrier-around,0.8073348180130795,32.081,3.692,1.7,False
23,TGA6G7,,8.0,testA,barrier-around,0.817044223227152,35.678,7.318,0.0,False
24,TGA6G7,,9.0,fam,pit,0.8827661751058158,24.526,4.888,2.595,False
25,TGA6G7,,10.0,testA,pit,0.8549174289811742,31.997,11.355,1.905,False
26,TGA6G7,,11.0,fam,pit-bridge,0.84276025396473,25.608,2.709,2.183,False
27,TGA6G7,,12.0,testB,pit-bridge,0.7986733868233994,25.769,15.645,0.0,False
28,H7G3CC,,1.0,fam,barrier-around,0.8349778179586287,10.326,25.647,3.14,False
29,H7G3CC,,2.0,testA,barrier-around,0.8346715913878546,0.0,45.009,4.052,False
30,H7G3CC,,3.0,fam,barrier-jump,0.8578890062295473,2.495,28.933,4.027,False
31,H7G3CC,,4.0,testB,barrier-jump,0.8942025187222854,3.519,39.876,3.273,False
32,H7G3CC,,5.0,fam,pit-bridge,0.7936554942280054,2.379,26.001,4.056,False
33,H7G3CC,,6.0,testB,pit-bridge,0.8688151900832718,1.784,42.521,4.026,False
34,H7G3CC,,7.0,fam,pit,0.7562832628425799,1.771,27.752,4.058,False
35,H7G3CC,,8.0,testA,pit,0.8022523088888689,2.872,40.238,3.321,False
36,H7G3CC,,9.0,fam,barrier-around,0.5148712396621704,1.523,35.02,4.018,False
37,H7G3CC,,10.0,testA,barrier-around,0.8265005287798968,0.0,44.857,4.001,False
38,H7G3CC,,11.0,fam,barrier-jump,0.8426009306907654,11.029,14.189,2.216,False
39,H7G3CC,,12.0,testB,barrier-jump,0.0,13.876,25.281,3.131,False
40,352KHV,,1.0,fam,barrier-around,0.9715600642551672,7.899,26.435,4.026,False
41,352KHV,,2.0,testB,barrier-around,0.9547052121743924,2.025,41.513,4.024,False
42,352KHV,,3.0,fam,barrier-jump,0.9863650487326464,20.852,7.205,0.972,False
43,352KHV,,4.0,testA,barrier-jump,0.9527138573254724,3.404,39.64,3.508,False
44,352KHV,,5.0,fam,pit-bridge,0.9203736335246387,23.723,5.152,0.617,False
45,352KHV,,6.0,testA,pit-bridge,0.9111076029598848,28.716,14.694,0.424,False
46,352KHV,,7.0,fam,pit,0.8927290356057322,17.666,9.316,1.52,False
47,352KHV,,8.0,testB,pit,0.7991154012472733,7.715,31.36,1.216,False
48,352KHV,,9.0,fam,barrier-around,0.8389175943299836,0.685,35.301,3.955,False
49,352KHV,,10.0,testB,barrier-around,0.9473378458830316,5.565,33.697,3.821,False
50,352KHV,,11.0,fam,barrier-jump,0.8035715094759317,9.184,18.66,3.685,False
51,352KHV,,12.0,testA,barrier-jump,0.9709791656430452,8.457,33.937,3.578,False
52,Q4KECG,,1.0,fam,barrier-around,0.876141651193214,37.872,0.0,0.0,False
53,Q4KECG,,2.0,testB,barrier-around,0.8397676532132007,40.191,4.16,3.568,False
54,Q4KECG,,3.0,fam,barrier-jump,0.8425191517376229,32.4,0.0,0.0,False
55,Q4KECG,,4.0,testA,barrier-jump,0.8541965152184988,39.882,4.48,3.488,False
56,Q4KECG,,5.0,fam,pit-bridge,0.8684106107646897,27.424,1.167,0.0,False
57,Q4KECG,,6.0,testA,pit-bridge,0.8501224172346801,42.544,1.983,2.319,False
58,Q4KECG,,7.0,fam,pit,0.9020065795480406,30.896,0.0,0.0,False
59,Q4KECG,,8.0,testB,pit,0.7917772426324732,28.56,11.617,1.985,False
60,Q4KECG,,9.0,fam,barrier-around,0.8407507992344476,29.568,6.648,1.824,False
61,Q4KECG,,10.0,testB,barrier-around,0.8182238583105156,33.456,9.54,3.762,False
62,Q4KECG,,11.0,fam,barrier-jump,0.9211780512600802,21.519,9.551,2.991,False
63,Q4KECG,,12.0,testA,barrier-jump,0.7554728330635443,24.835,15.375,1.743,False
64,TX2GSP,,1.0,fam,pit,0.9242090475128356,27.022,2.47,2.209,False
65,TX2GSP,,2.0,testB,pit,0.9212080084581146,37.872,5.241,0.0,False
66,TX2GSP,,3.0,fam,pit-bridge,0.9137711686461998,22.779,4.777,1.681,False
67,TX2GSP,,4.0,testA,pit-bridge,0.9108645375526064,41.387,1.34,0.0,False
68,TX2GSP,,5.0,fam,barrier-jump,0.9004465361603168,31.505,0.337,0.0,False
69,TX2GSP,,6.0,testA,barrier-jump,0.9182721668536344,43.4,0.799,0.0,False
70,TX2GSP,,7.0,fam,barrier-around,0.888505254642687,36.546,0.735,0.0,False
71,TX2GSP,,8.0,testB,barrier-around,0.8901419591273058,37.599,4.472,0.401,False
72,TX2GSP,,9.0,fam,pit,0.8982622740089252,31.039,0.0,0.0,False
73,TX2GSP,,10.0,testB,pit,0.8887491859637285,33.487,8.338,0.0,False
74,TX2GSP,,11.0,fam,pit-bridge,0.8825970220119774,18.848,9.348,0.928,False
75,TX2GSP,,12.0,testA,pit-bridge,0.8456111744409655,25.317,8.049,0.191,False
76,TX2GSP,,13.0,fam,pit,0.9793280959129332,0.0,0.0,0.0,False
77,TX2GSP,,14.0,testB,pit,0.9677260347775052,0.0,0.0,0.0,False
78,TX2GSP,,15.0,fam,pit-bridge,0.9060399532318116,1.784,0.0,0.0,False
79,TX2GSP,,16.0,testA,pit-bridge,0.8285620589256286,1.392,0.0,0.08,False
80,TX2GSP,,17.0,fam,barrier-jump,0.8227549323013851,8.305,0.0,0.0,False
81,TX2GSP,,18.0,testA,barrier-jump,0.9763596504926682,2.736,0.0,0.0,False
82,TX2GSP,,19.0,fam,barrier-around,0.7468733429908753,5.289,0.0,0.0,False
83,TX2GSP,,20.0,testB,barrier-around,0.917070916720799,2.944,0.0,0.0,False
84,TX2GSP,,21.0,fam,pit,0.8325170006441034,8.368,0.0,0.0,False
85,TX2GSP,,22.0,testB,pit,0.8978794126799612,3.008,0.0,0.0,False
86,TX2GSP,,23.0,fam,pit-bridge,0.6358270426591237,4.207,0.673,0.928,False
87,TX2GSP,,24.0,testA,pit-bridge,0.0,0.866,1.618,1.618,False
88,dHPNP6,,1.0,fam,barrier-around,0.9142577370102896,37.096,0.3,0.0,False
89,dHPNP6,,2.0,testA,barrier-around,0.8518056863434262,42.793,0.815,0.0,False
90,dHPNP6,,3.0,fam,barrier-jump,0.882115685881065,29.666,2.304,2.432,False
91,dHPNP6,,4.0,testB,barrier-jump,0.8788352005601281,24.858,15.409,0.577,False
92,dHPNP6,,5.0,testB,barrier-jump-repeat-1,0.9401183944994588,24.558,17.505,0.0,False
93,dHPNP6,,6.0,fam,pit-bridge,0.8988976730663973,19.974,6.917,2.048,False
94,dHPNP6,,7.0,testB,pit-bridge,0.924931192460813,35.606,7.476,0.271,False
95,dHPNP6,,8.0,fam,pit,0.939442657929146,27.305,1.887,0.0,False
96,dHPNP6,,9.0,testA,pit,0.9141430670350064,24.682,16.015,3.167,False
97,dHPNP6,,10.0,fam,barrier-around,0.9051758547399706,31.265,4.525,1.199,False
98,dHPNP6,,11.0,testA,barrier-around,0.8302274621012857,30.605,13.968,4.0,False
99,dHPNP6,,12.0,fam,barrier-jump,0.891389550144139,20.067,11.499,0.602,False
100,dHPNP6,,13.0,testB,barrier-jump,0.8921806557557067,17.217,25.372,1.581,False
101,3UUGUc,,1.0,fam,pit-bridge,0.9192308977313106,29.648,0.0,0.0,False
102,3UUGUc,,2.0,testA,pit-bridge,0.9306538312147696,32.662,11.883,4.012,False
103,3UUGUc,,3.0,fam,barrier-around,0.8999871434503897,28.679,8.952,0.0,False
104,3UUGUc,,4.0,testB,barrier-around,0.8805898404320496,15.176,28.243,4.013,False
105,3UUGUc,,5.0,fam,pit,0.6977145118644824,9.467,19.647,2.774,False
106,3UUGUc,,6.0,testB,pit,0.8562430951738433,20.392,23.148,4.001,False
107,3UUGUc,,7.0,fam,barrier-jump,0.9195299886200764,13.211,16.172,4.007,False
108,3UUGUc,,8.0,testA,barrier-jump,0.8563133166071683,13.551,27.47,3.268,False
