,child,session,trial_num,trial_type,stim_type,confidence,iCatcher_on(s),iCatcher_off(s),parentEnded
0,5WDNVZ,,1,fam,pit,0.8981423985104345,12.47,0.426,False
1,5WDNVZ,,2,fam,pit-repeat-1,0.9210911636332008,30.965,0.0,False
2,5WDNVZ,,3,testA,pit,0.9102881585928932,44.599,0.265,False
3,5WDNVZ,,4,fam,pit-bridge,0.915839507491698,29.763,0.0,False
4,5WDNVZ,,5,testB,pit-bridge,0.8921426795851882,43.306,1.429,False
5,5WDNVZ,,6,fam,barrier-jump,0.8473907660348509,31.301,0.968,False
6,5WDNVZ,,7,testB,barrier-jump,0.867703710020203,36.366,2.004,False
7,5WDNVZ,,8,fam,barrier-around,0.9052356960171656,37.906,0.0,False
8,5WDNVZ,,9,testA,barrier-around,0.8846164657541725,41.104,0.0,False
9,5WDNVZ,,10,testA,barrier-around-repeat-1,0.8596525685755967,7.343,2.004,False
10,5WDNVZ,,11,fam,pit,0.9124356158206918,28.575,1.9,False
11,5WDNVZ,,12,testA,pit,0.8743002962077029,18.06,4.097,False
12,5WDNVZ,,13,fam,pit-bridge,0.8674633269562922,20.439,7.538,False
13,5WDNVZ,,14,testB,pit-bridge,0.8652761611590157,39.02,4.61,False
14,47HZV5,,1,fam,pit,0.9118677616760296,30.945,0.0,False
15,47HZV5,,2,testB,pit,0.9059710165706296,27.242,2.998,False
16,47HZV5,,3,fam,pit-bridge,0.8937739823888612,29.752,0.0,False
17,47HZV5,,4,testA,pit-bridge,0.9250492586592656,37.09,1.669,False
18,47HZV5,,5,testA,pit-bridge-repeat-1,0.9146099241795363,44.913,0.0,False
19,47HZV5,,6,fam,barrier-jump,0.7900431759812591,29.626,2.144,False
20,47HZV5,,7,testA,barrier-jump,0.6258766813339091,28.893,8.341,False
21,47HZV5,,8,fam,barrier-around,0.7784329912574514,37.885,0.0,False
22,47HZV5,,9,testB,barrier-around,0.7430415953102498,38.736,4.923,False
23,47HZV5,,10,fam,pit,0.8051646696366018,24.614,2.064,False
24,47HZV5,,11,testB,pit,0.6038537123390744,12.19,4.2,False
25,47HZV5,,12,fam,pit-bridge,0.7401214395193446,24.567,4.721,False
26,47HZV5,,13,testA,pit-bridge,0.8550158179296343,38.92,4.574,False
27,4SYGJG,,1,fam,barrier-jump,0.9442593341113114,32.424,0.0,False
28,4SYGJG,,2,testB,barrier-jump,0.9235575949426872,25.579,2.442,False
29,4SYGJG,,3,fam,pit,0.9452923961074614,4.095,2.024,False
30,4SYGJG,,4,testA,pit,0.920120602341958,9.378,2.001,False
31,4SYGJG,,5,fam,barrier-around,0.9574690912516064,7.074,2.004,False
32,4SYGJG,,6,testA,barrier-around,0.882605280238352,4.661,2.033,False
33,4SYGJG,,7,fam,pit-bridge,0.8909761535339669,3.648,2.031,False
34,4SYGJG,,8,testB,pit-bridge,0.8743263585409666,3.523,2.011,False
35,4SYGJG,,9,fam,barrier-jump,0.8723034223459957,4.287,2.039,False
36,4SYGJG,,10,testB,barrier-jump,0.8365943763884272,2.95,2.029,False
37,4SYGJG,,11,fam,pit,0.8610229726218007,10.016,4.972,False
38,4SYGJG,,12,testA,pit,0.8669195479856341,3.384,2.026,False
39,4REZBL,,1,fam,barrier-around,0.9434163713730216,37.823,0.0,False
40,4REZBL,,2,testB,barrier-around,0.8843507583773866,40.898,3.49,False
41,4REZBL,,3,fam,barrier-jump,0.8157180236085602,30.816,1.391,False
42,4REZBL,,4,testA,barrier-jump,0.9196278523348584,43.342,1.391,False
43,4REZBL,,5,fam,pit-bridge,0.93460888450014,29.76,0.0,False
44,4REZBL,,6,testA,pit-bridge,0.8653268765736675,36.258,3.809,False
45,4REZBL,,7,fam,pit,0.9209417965081174,15.488,2.032,False
46,4REZBL,,8,testB,pit,0.8419921675783498,9.279,2.495,False
47,4REZBL,,9,fam,barrier-around,0.9162177083169726,35.201,2.001,False
48,4REZBL,,10,testB,barrier-around,0.7827761091407717,7.804,5.311,False
49,4REZBL,,11,testB,barrier-around-repeat-1,0.7609486670865543,5.232,10.146,False
50,N62TMP,,1,fam,pit-bridge,0.94078539993665,23.368,4.523,False
51,N62TMP,,2,testA,pit-bridge,0.9217231061691884,40.911,2.142,False
52,N62TMP,,3,fam,barrier-around,0.8757820111627762,33.868,2.453,False
53,N62TMP,,4,testB,barrier-around,0.8967747655882443,36.145,5.686,False
54,N62TMP,,5,fam,pit,0.9008549452832576,29.412,1.042,False
55,N62TMP,,6,testB,pit,0.908542226286354,12.266,3.631,False
56,N62TMP,,7,fam,barrier-jump,0.8897366849941197,23.281,5.667,False
57,N62TMP,,8,testA,barrier-jump,0.9210716968459703,4.067,3.101,False
58,N62TMP,,9,fam,pit-bridge,0.8737402828540624,13.727,5.024,False
59,N62TMP,,10,testA,pit-bridge,0.850746824386272,11.281,4.172,False
60,N62TMP,,11,fam,barrier-around,0.8627350253487065,13.22,2.141,False
61,N62TMP,,12,testB,barrier-around,0.8359770569747145,24.78,5.167,False
62,PTZNSL,,1,fam,barrier-around,0.8924066218168525,37.889,0.0,False
63,PTZNSL,,2,testB,barrier-around,0.9237174865274794,44.966,0.0,False
64,PTZNSL,,3,fam,barrier-jump,0.8725186541862013,32.394,0.0,False
65,PTZNSL,,4,testA,barrier-jump,0.8585723324461789,34.901,6.275,False
66,PTZNSL,,5,fam,pit-bridge,0.8768933050921469,27.663,1.564,False
67,PTZNSL,,6,testA,pit-bridge,0.8747626304771019,26.37,2.933,False
68,PTZNSL,,7,fam,pit,0.9557863275429844,30.568,0.29,False
69,PTZNSL,,8,testB,pit,0.9068235050501494,38.584,5.204,False
70,W7ZXCP,,1,fam,pit-bridge,0.9162808291846328,27.265,1.415,False
71,W7ZXCP,,2,testA,pit-bridge,0.9620133026100782,42.691,0.925,False
72,W7ZXCP,,3,fam,barrier-around,0.9300226958487868,34.104,1.334,False
73,W7ZXCP,,4,testB,barrier-around,0.8937965638126172,16.835,2.908,False
74,W7ZXCP,,5,fam,pit,0.9377913609031558,23.297,3.055,False
75,W7ZXCP,,6,testB,pit,0.9155328544768918,7.493,3.317,False
76,W7ZXCP,,7,fam,barrier-jump,0.9693550976854942,14.83,2.002,False
77,W7ZXCP,,8,testA,barrier-jump,0.93693058564772,5.125,2.002,False
78,GScUXA,,1,fam,pit-bridge,0.0,0.0,5.056,False
79,GScUXA,,2,testB,pit-bridge,0.0,0.0,5.047,False
