,child,session,trial_num,trial_type,stim_type,confidence,iCatcher_on(s),iCatcher_off(s),t_spent_off_at_trial_end,parentEnded
0,JLQEZQ,,1.0,fam,barrier-jump,0.0,0.0,45.209,4.045,False
1,JLQEZQ,,2.0,fam,barrier-jump,0.0,0.0,45.213,4.0,False
2,JLQEZQ,,3.0,fam,barrier-jump,0.0,0.0,29.37,4.003,True
3,JLQEZQ,,4.0,fam,barrier-jump,0.0,0.0,38.734,4.042,True
4,JLQEZQ,,5.0,fam,barrier-jump,0.0,0.0,45.179,4.043,False
5,JLQEZQ,,6.0,fam,barrier-jump,0.0,0.0,45.281,4.009,False
6,JLQEZQ,,7.0,fam,barrier-jump,0.0,0.0,45.244,4.041,False
7,JLQEZQ,,8.0,fam,barrier-jump,0.0,0.0,45.364,4.019,False
8,JLQEZQ,,9.0,testB,barrier-jump,0.0,0.0,34.776,4.046,False
9,JLQEZQ,,10.0,testB,barrier-jump-repeat-1,0.0,0.0,20.462,4.001,True
10,JLQEZQ,,11.0,testA,barrier-jump,0.0,0.0,9.646,4.013,True
11,JLQEZQ,,12.0,testA,barrier-jump,0.0,0.0,9.545,4.042,True
12,JLQEZQ,,13.0,testB,barrier-jump,0.0,0.0,19.79,4.03,True
13,VVVSJB,,1.0,fam,barrier-jump,0.0,0.0,17.444,4.007,True
14,VVVSJB,,2.0,fam,barrier-jump,0.0,0.0,15.876,4.0,True
15,VVVSJB,,3.0,fam,barrier-jump,0.0,0.0,45.017,4.009,False
16,VVVSJB,,4.0,fam,barrier-jump,0.0,0.0,45.01,4.041,False
17,VVVSJB,,5.0,fam,barrier-jump,0.0,0.0,20.427,4.015,True
18,VVVSJB,,6.0,fam,barrier-jump,0.0,0.0,29.355,4.028,True
19,VVVSJB,,7.0,fam,barrier-jump,0.0,0.0,45.05,4.008,False
20,VVVSJB,,8.0,fam,barrier-jump,0.0,0.0,25.084,4.012,True
21,VVVSJB,,9.0,testB,barrier-jump,0.0,0.0,11.947,4.004,True
22,VVVSJB,,10.0,testA,barrier-jump,0.0,0.0,23.257,4.037,True
23,VVVSJB,,11.0,testA,barrier-jump,0.0,0.0,45.015,4.009,False
24,VVVSJB,,12.0,testB,barrier-jump,0.0,0.0,20.716,4.007,True
25,5EZQ6R,,1.0,fam,barrier-jump,0.0,0.0,29.067,4.016,True
26,5EZQ6R,,2.0,fam,barrier-jump,0.0,0.0,30.383,4.016,True
27,5EZQ6R,,3.0,fam,barrier-jump,0.0,0.0,34.689,4.001,True
28,5EZQ6R,,4.0,fam,barrier-jump,0.0,0.0,45.009,4.017,False
29,5EZQ6R,,5.0,fam,barrier-jump,0.0,0.0,17.963,4.016,True
30,5EZQ6R,,6.0,fam,barrier-jump,0.0,0.0,39.248,4.016,True
31,5EZQ6R,,7.0,fam,barrier-jump,0.0,0.0,34.35,4.016,True
32,5EZQ6R,,8.0,fam,barrier-jump,0.0,0.0,12.08,4.016,True
33,5EZQ6R,,9.0,testA,barrier-jump,0.0,0.0,16.065,4.017,True
34,5EZQ6R,,10.0,testB,barrier-jump,0.0,0.0,14.96,4.008,True
35,5EZQ6R,,11.0,testB,barrier-jump,0.0,0.0,13.524,4.036,True
36,5EZQ6R,,12.0,testA,barrier-jump,0.0,0.0,27.424,4.016,True
37,NFYDcF,,1.0,fam,pit,0.0,0.0,45.021,4.016,False
38,NFYDcF,,2.0,fam,pit,0.0,0.0,40.53,4.018,True
39,NFYDcF,,3.0,fam,pit,0.0,0.0,45.022,4.016,False
40,NFYDcF,,4.0,fam,pit,0.0,0.0,45.022,4.017,False
41,NFYDcF,,5.0,fam,pit,0.0,0.0,36.542,4.017,True
42,NFYDcF,,6.0,fam,pit,0.0,0.0,13.408,4.016,True
43,NFYDcF,,7.0,fam,pit,0.0,0.0,19.361,4.015,True
44,NFYDcF,,8.0,fam,pit,0.0,0.0,20.765,4.015,True
45,NFYDcF,,9.0,testB,pit,0.0,0.0,28.687,4.03,True
46,NFYDcF,,10.0,testA,pit,0.0,0.0,43.858,4.018,True
47,NFYDcF,,11.0,testA,pit,0.0,0.0,10.896,4.016,True
48,NFYDcF,,12.0,testB,pit,0.0,0.0,8.32,4.002,True
49,PN3WdR,,1.0,fam,pit,0.0,0.0,45.081,4.0,False
50,PN3WdR,,2.0,fam,pit,0.0,0.0,45.087,4.002,False
51,PN3WdR,,3.0,fam,pit,0.0,0.0,20.029,4.003,True
52,PN3WdR,,4.0,fam,pit,0.0,0.0,45.085,4.0,False
53,PN3WdR,,5.0,fam,pit,0.0,0.0,45.082,4.002,False
54,PN3WdR,,6.0,fam,pit,0.0,0.0,10.0,4.005,True
55,PN3WdR,,7.0,fam,pit,0.0,0.0,45.086,4.001,False
56,PN3WdR,,8.0,fam,pit,0.0,0.0,41.146,4.031,True
57,PN3WdR,,9.0,testB,pit,0.0,0.0,45.053,4.034,False
58,PN3WdR,,10.0,testA,pit,0.0,0.0,45.101,4.032,False
59,PN3WdR,,11.0,testA,pit,0.0,0.0,45.08,4.002,False
60,PN3WdR,,12.0,testB,pit,0.0,0.0,38.425,4.033,True
61,PN3WdR,,13.0,testB,pit,0.0,0.0,45.083,4.0,False
62,PN3WdR,,14.0,testA,pit,0.0,0.0,40.811,4.001,True
63,74cEPQ,,1.0,fam,pit-bridge,0.9270558910549812,44.366,0.095,0.0,False
64,74cEPQ,,2.0,fam,pit-bridge,0.9160695485557132,40.041,2.73,0.0,False
65,74cEPQ,,3.0,fam,pit-bridge,0.930222384695314,43.198,1.34,0.978,False
66,74cEPQ,,4.0,fam,pit-bridge,0.9055219007403936,40.668,3.887,0.417,False
67,74cEPQ,,5.0,fam,pit-bridge,0.8906517395411025,11.635,4.285,2.228,True
