,child,session,trial_num,trial_type,stim_type,confidence,iCatcher_on(s),iCatcher_off(s),parentEnded
0,JLQEZQ,,1.0,fam,barrier-jump,0.0,0.0,5.033,False
1,JLQEZQ,,2.0,fam,barrier-jump,0.0,0.0,5.056,False
2,JLQEZQ,,3.0,fam,barrier-jump,0.0,0.0,5.059,True
3,JLQEZQ,,4.0,fam,barrier-jump,0.0,0.0,5.055,True
4,JLQEZQ,,5.0,fam,barrier-jump,0.0,0.0,5.053,False
5,JLQEZQ,,6.0,fam,barrier-jump,0.0,0.0,5.033,False
6,JLQEZQ,,7.0,fam,barrier-jump,0.0,0.0,5.046,False
7,JLQEZQ,,8.0,fam,barrier-jump,0.0,0.0,5.078,False
8,JLQEZQ,,9.0,testB,barrier-jump,0.0,0.0,5.092,False
9,JLQEZQ,,10.0,testB,barrier-jump-repeat-1,0.0,0.0,5.042,True
10,JLQEZQ,,11.0,testA,barrier-jump,0.0,0.0,5.09,True
11,JLQEZQ,,12.0,testA,barrier-jump,0.0,0.0,5.084,True
12,JLQEZQ,,13.0,testB,barrier-jump,0.0,0.0,5.042,True
13,VVVSJB,,1.0,fam,barrier-jump,0.0,0.0,5.029,True
14,VVVSJB,,2.0,fam,barrier-jump,0.0,0.0,5.032,True
15,VVVSJB,,3.0,fam,barrier-jump,0.0,0.0,5.043,False
16,VVVSJB,,4.0,fam,barrier-jump,0.0,0.0,5.041,False
17,VVVSJB,,5.0,fam,barrier-jump,0.0,0.0,5.04,True
18,VVVSJB,,6.0,fam,barrier-jump,0.0,0.0,5.04,True
19,VVVSJB,,7.0,fam,barrier-jump,0.0,0.0,5.069,False
20,VVVSJB,,8.0,fam,barrier-jump,0.0,0.0,5.029,True
21,VVVSJB,,9.0,testB,barrier-jump,0.0,0.0,5.072,True
22,VVVSJB,,10.0,testA,barrier-jump,0.0,0.0,5.07,True
23,VVVSJB,,11.0,testA,barrier-jump,0.0,0.0,5.038,False
24,VVVSJB,,12.0,testB,barrier-jump,0.0,0.0,5.037,True
25,5EZQ6R,,1.0,fam,barrier-jump,0.0,0.0,5.035,True
26,5EZQ6R,,2.0,fam,barrier-jump,0.0,0.0,5.087,True
27,5EZQ6R,,3.0,fam,barrier-jump,0.0,0.0,5.056,True
28,5EZQ6R,,4.0,fam,barrier-jump,0.0,0.0,5.056,False
29,5EZQ6R,,5.0,fam,barrier-jump,0.0,0.0,5.051,True
30,5EZQ6R,,6.0,fam,barrier-jump,0.0,0.0,5.056,True
31,5EZQ6R,,7.0,fam,barrier-jump,0.0,0.0,5.038,True
32,5EZQ6R,,8.0,fam,barrier-jump,0.0,0.0,5.057,True
33,5EZQ6R,,9.0,testA,barrier-jump,0.0,0.0,5.057,True
34,5EZQ6R,,10.0,testB,barrier-jump,0.0,0.0,5.057,True
35,5EZQ6R,,11.0,testB,barrier-jump,0.0,0.0,5.03,True
36,5EZQ6R,,12.0,testA,barrier-jump,0.0,0.0,5.04,True
