,child,session,trial_num,trial_type,stim_type,confidence,iCatcher_on(s),iCatcher_off(s),t_spent_off_at_trial_end,parentEnded
0,4RRFXQ,,1,fam,barrier-jump,0.9338968688323588,59.631,0.191,0.0,False
1,4RRFXQ,,2,fam,barrier-jump,0.9498368107806822,44.704,2.847,2.912,True
2,4RRFXQ,,3,fam,barrier-jump,0.9234095311233984,51.756,7.105,0.096,False
3,4RRFXQ,,4,fam,barrier-jump,0.9114231696615668,31.873,3.405,3.44,True
4,4RRFXQ,,5,fam,barrier-jump,0.8761931628429244,13.301,2.417,2.545,True
5,4RRFXQ,,6,fam,barrier-jump,0.9331707851444674,42.031,7.344,3.296,True
6,4RRFXQ,,7,testA,barrier-jump,0.9234099022514312,52.177,3.694,3.327,True
7,4RRFXQ,,8,testB,barrier-jump,0.9167737207756746,9.484,4.458,1.936,True
8,4RRFXQ,,9,testA,barrier-jump,0.9478462612353308,5.711,3.393,3.519,True
9,4RRFXQ,,10,testB,barrier-jump,0.9255279343052688,7.325,3.088,3.153,True
10,5SVSMJ,,1,fam,barrier-jump,0.8129123984442816,59.986,0.0,0.0,False
11,5SVSMJ,,2,fam,barrier-jump,0.7633995311127768,59.984,0.0,0.0,False
12,5SVSMJ,,3,fam,barrier-jump,0.7713915349007744,58.003,1.344,0.0,False
13,5SVSMJ,,4,fam,barrier-jump,0.836544668499557,58.368,0.271,0.0,False
14,5SVSMJ,,5,fam,barrier-jump,0.7793584563515403,25.104,26.292,2.944,False
15,5SVSMJ,,6,fam,barrier-jump,0.7513863401431026,14.078,28.447,1.744,True
16,5SVSMJ,,7,testA,barrier-jump,0.9175989972917658,4.945,1.871,2.143,True
17,5SVSMJ,,8,testB,barrier-jump,0.972536848272596,4.544,0.656,0.928,True
18,5SVSMJ,,9,testA,barrier-jump,0.6915552572770552,5.6,24.846,3.871,True
19,5SVSMJ,,10,testB,barrier-jump,0.6717066209293107,11.632,16.817,4.143,True
20,ASKHGL,,1,fam,barrier-jump,0.9258651884634104,57.831,2.061,0.0,False
21,ASKHGL,,2,fam,barrier-jump,0.8947212954143141,56.694,2.179,0.0,False
22,ASKHGL,,3,fam,barrier-jump,0.8788292178107747,51.287,7.832,0.942,False
23,ASKHGL,,4,fam,barrier-jump,0.9168733269712072,53.563,5.889,0.0,False
24,ASKHGL,,5,fam,barrier-jump,0.879758874411,56.006,3.479,0.0,False
25,ASKHGL,,6,fam,barrier-jump,0.8992248748804574,50.149,8.488,2.028,False
26,ASKHGL,,7,testB,barrier-jump,0.8798365193700034,10.415,4.123,3.817,True
27,ASKHGL,,8,testA,barrier-jump,0.921965079648154,5.771,5.161,4.028,True
28,ASKHGL,,9,testB,barrier-jump,0.8910046063357988,44.17,10.494,4.018,True
29,ASKHGL,,10,testA,barrier-jump,0.8440671656173089,5.68,6.898,4.015,True
30,B4PKYH,,1,fam,barrier-jump,0.9238520758226514,44.826,13.199,0.839,False
31,B4PKYH,,2,fam,barrier-jump,0.85341102173675,7.222,6.431,3.538,True
32,B4PKYH,,3,fam,barrier-jump,0.9134754701050354,20.347,4.93,3.105,True
33,B4PKYH,,4,fam,barrier-jump,0.933342962863886,34.85,5.261,3.369,True
