,child,session,trial_num,trial_type,stim_type,confidence,iCatcher_on(s),iCatcher_off(s),parentEnded
0,4RRFXQ,,1,fam,barrier-jump,0.9338968688323588,59.631,0.191,False
1,4RRFXQ,,2,fam,barrier-jump,0.9498368107806822,44.704,2.847,True
2,4RRFXQ,,3,fam,barrier-jump,0.9234095311233984,51.756,7.105,False
3,4RRFXQ,,4,fam,barrier-jump,0.9114231696615668,31.873,3.037,True
4,4RRFXQ,,5,fam,barrier-jump,0.8761931628429244,13.301,2.417,True
5,4RRFXQ,,6,fam,barrier-jump,0.9331707851444674,9.168,3.024,True
6,4RRFXQ,,7,testA,barrier-jump,0.9234099022514312,52.177,3.455,True
7,4RRFXQ,,8,testB,barrier-jump,0.9167737207756746,9.484,4.458,True
8,4RRFXQ,,9,testA,barrier-jump,0.9478462612353308,5.711,3.393,True
9,4RRFXQ,,10,testB,barrier-jump,0.9255279343052688,6.893,3.023,True
10,5SVSMJ,,1,fam,barrier-jump,0.8129123984442816,59.986,0.0,False
11,5SVSMJ,,2,fam,barrier-jump,0.7633995311127768,59.984,0.0,False
12,5SVSMJ,,3,fam,barrier-jump,0.7713915349007744,58.003,1.344,False
13,5SVSMJ,,4,fam,barrier-jump,0.836544668499557,58.368,0.271,False
14,5SVSMJ,,5,fam,barrier-jump,0.7793584563515403,16.945,6.945,False
15,5SVSMJ,,6,fam,barrier-jump,0.7513863401431026,3.984,4.416,True
16,5SVSMJ,,7,testA,barrier-jump,0.9175989972917658,4.945,1.871,True
17,5SVSMJ,,8,testB,barrier-jump,0.972536848272596,4.544,0.656,True
18,5SVSMJ,,9,testA,barrier-jump,0.6915552572770552,0.0,5.152,True
19,5SVSMJ,,10,testB,barrier-jump,0.6717066209293107,5.616,3.073,True
20,ASKHGL,,1,fam,barrier-jump,0.9258651884634104,57.831,2.061,False
21,ASKHGL,,2,fam,barrier-jump,0.8947212954143141,56.694,2.179,False
22,ASKHGL,,3,fam,barrier-jump,0.8788292178107747,51.287,7.832,False
23,ASKHGL,,4,fam,barrier-jump,0.9168733269712072,53.563,5.889,False
24,ASKHGL,,5,fam,barrier-jump,0.879758874411,56.006,3.479,False
25,ASKHGL,,6,fam,barrier-jump,0.8992248748804574,38.701,4.951,False
26,ASKHGL,,7,testB,barrier-jump,0.8798365193700034,10.415,3.402,True
27,ASKHGL,,8,testA,barrier-jump,0.921965079648154,5.771,3.004,True
28,ASKHGL,,9,testB,barrier-jump,0.8910046063357988,15.165,3.993,True
29,ASKHGL,,10,testA,barrier-jump,0.8440671656173089,5.68,5.137,True
30,B4PKYH,,1,fam,barrier-jump,0.9238520758226514,44.826,13.199,False
31,B4PKYH,,2,fam,barrier-jump,0.85341102173675,7.116,5.963,True
32,B4PKYH,,3,fam,barrier-jump,0.9134754701050354,20.347,4.93,True
33,B4PKYH,,4,fam,barrier-jump,0.933342962863886,34.85,4.963,True
34,B4PKYH,,5,fam,barrier-jump,0.9398053639330144,11.357,3.003,True
35,B4PKYH,,6,fam,barrier-jump,0.9207026401780686,5.202,2.969,True
36,B4PKYH,,7,testA,barrier-jump,0.8571123192086816,1.933,2.537,True
37,B4PKYH,,8,testB,barrier-jump,0.9703522475266998,5.762,3.482,True
38,B4PKYH,,9,testA,barrier-jump,0.931980214525606,7.104,2.898,True
39,B4PKYH,,10,testB,barrier-jump,0.8908859291609298,9.29,3.437,True
40,BUFC2D,,1,fam,barrier-jump,0.950065344677005,8.881,3.019,True
41,BUFC2D,,2,fam,barrier-jump,0.9545640783451672,8.799,3.004,True
42,BUFC2D,,3,fam,barrier-jump,0.9866152359889104,20.815,4.951,True
43,BUFC2D,,4,fam,barrier-jump,0.9684083070237036,51.502,6.321,False
44,BUFC2D,,5,fam,barrier-jump,0.9336623786869696,5.774,3.234,True
45,BUFC2D,,6,fam,barrier-jump,0.935548831793395,8.536,4.835,True
46,BUFC2D,,7,testA,barrier-jump,0.8952990270596235,19.505,10.562,True
47,BUFC2D,,8,testB,barrier-jump,0.8416118110929217,5.682,7.334,True
48,BUFC2D,,9,testA,barrier-jump,0.8208550533946649,9.775,11.862,True
49,BUFC2D,,10,testB,barrier-jump,0.9276296835679274,2.047,4.02,True
50,cDLXH2,,1,fam,barrier-jump,0.920541259200052,58.892,0.858,False
51,cDLXH2,,2,fam,barrier-jump,0.9072810374728004,23.348,1.167,True
52,cDLXH2,,3,fam,barrier-jump,0.8744117810466225,27.267,8.588,True
53,cDLXH2,,4,fam,barrier-jump,0.9032621146158408,21.35,1.236,False
54,DETK4R,,1,fam,barrier-jump,0.890096465007561,56.139,1.113,False
55,DETK4R,,2,fam,barrier-jump,0.8847309152575304,45.466,9.302,False
56,DETK4R,,3,fam,barrier-jump,0.8793194897305942,2.793,5.976,False
57,DETK4R,,4,fam,barrier-jump,0.8889975010910455,17.509,5.633,True
58,DETK4R,,5,fam,barrier-jump,0.8817129218950868,7.204,3.377,True
59,DETK4R,,6,fam,barrier-jump,0.8715577206385681,20.575,2.36,True
60,DETK4R,,7,testA,barrier-jump,0.9362995749711992,47.692,4.272,True
61,DETK4R,,8,testB,barrier-jump,0.7929412562822559,6.305,1.906,True
62,DETK4R,,9,testA,barrier-jump,0.8397436794245018,10.841,3.326,True
63,DETK4R,,10,testB,barrier-jump,0.8140421501347717,4.255,2.449,True
64,dKcS7S,,1,fam,barrier-jump,0.8018402380614795,58.175,0.881,False
65,dKcS7S,,2,fam,barrier-jump,0.8081387846481682,58.752,0.96,False
66,dKcS7S,,3,fam,barrier-jump,0.8336411785984796,51.6,6.626,False
67,dKcS7S,,4,fam,barrier-jump,0.8546174014282678,52.335,6.736,False
68,dKcS7S,,5,fam,barrier-jump,0.8527730819480173,28.255,6.015,True
69,dKcS7S,,6,fam,barrier-jump,0.8202124492611204,14.478,3.553,True
70,dKcS7S,,7,testA,barrier-jump,0.8417039951337197,11.007,5.809,True
71,dKcS7S,,8,testB,barrier-jump,0.725461981768878,2.88,3.04,True
72,dKcS7S,,9,testA,barrier-jump,0.8902469967005603,6.88,3.04,True
73,dKcS7S,,10,testB,barrier-jump,0.9085485835870108,10.335,3.039,True
74,dKUKK6,,1,fam,barrier-jump,0.8988250281212394,16.331,3.524,True
75,dKUKK6,,2,fam,barrier-jump,0.8799615202458719,52.522,6.543,False
76,dKUKK6,,3,fam,barrier-jump,0.8662822899031575,35.074,15.233,True
77,dKUKK6,,4,fam,barrier-jump,0.8567243737771231,16.899,6.876,True
78,dKUKK6,,5,fam,barrier-jump,0.8616718780426752,6.447,3.964,True
79,dKUKK6,,6,fam,barrier-jump,0.8887380631798405,7.694,3.291,True
80,dKUKK6,,7,testB,barrier-jump,0.8087138286771228,7.205,3.208,True
81,dKUKK6,,8,testA,barrier-jump,0.8398545037968494,8.611,3.213,True
82,dKUKK6,,9,testB,barrier-jump,0.8432541319975269,16.409,5.287,True
83,dKUKK6,,10,testA,barrier-jump,0.8246656792205677,5.642,3.208,True
84,EPUd7G,,1,fam,barrier-jump,0.759111766387587,17.119,2.4,True
85,EPUd7G,,2,fam,barrier-jump,0.877777858747272,19.041,3.569,True
86,EPUd7G,,3,fam,barrier-jump,0.8611801737030296,60.018,0.0,False
87,EPUd7G,,4,fam,barrier-jump,0.9033956072423668,58.514,0.864,False
88,EPUd7G,,5,fam,barrier-jump,0.8854669582060709,58.275,0.863,False
89,EPUd7G,,6,fam,barrier-jump,0.9204485841151188,59.585,0.289,False
90,EPUd7G,,7,testA,barrier-jump,0.910835093870601,47.872,1.919,True
91,EPUd7G,,8,testB,barrier-jump,0.8749565280877151,3.04,4.782,True
92,EPUd7G,,9,testA,barrier-jump,0.9400012765583818,12.672,2.849,True
93,EPUd7G,,10,testB,barrier-jump,0.8971870033144951,16.672,1.744,True
94,JA6CUc,,1,fam,barrier-jump,0.8903798301552617,2.8,6.141,True
95,JA6CUc,,2,fam,barrier-jump,0.8543826496812719,5.485,2.323,True
96,JA6CUc,,3,fam,barrier-jump,0.9425385039299726,10.801,3.585,True
97,JA6CUc,,4,fam,barrier-jump,0.8798920086451939,0.207,4.768,True
98,JA6CUc,,5,fam,barrier-jump,0.9423823559168472,3.358,3.171,True
99,JA6CUc,,6,fam,barrier-jump,0.9093701594819624,7.937,4.733,True
100,JA6CUc,,7,testB,barrier-jump,0.8699240560884829,4.418,3.981,True
101,JA6CUc,,8,testA,barrier-jump,0.9860649065273565,2.736,2.831,True
102,JA6CUc,,9,testB,barrier-jump,0.9027875740449508,2.812,1.937,True
103,JA6CUc,,10,testA,barrier-jump,0.9134514005603016,2.351,6.628,True
104,K524MN,,1,fam,barrier-jump,0.9487733426885526,60.016,0.0,False
105,K524MN,,2,fam,barrier-jump,0.9507286706040248,60.022,0.0,False
106,K524MN,,3,fam,barrier-jump,0.9242216909373248,59.997,0.0,False
107,K524MN,,4,fam,barrier-jump,0.930801485183174,57.605,0.501,False
108,K524MN,,5,fam,barrier-jump,0.9593314238922382,60.025,0.0,False
109,K524MN,,6,fam,barrier-jump,0.9457730349615544,59.992,0.0,False
110,K524MN,,7,testB,barrier-jump,0.935179938526519,58.741,0.798,False
111,K524MN,,8,testA,barrier-jump,0.9196541957067748,57.494,0.928,False
112,K524MN,,9,testB,barrier-jump,0.9270562112439176,59.969,0.0,False
113,K524MN,,10,testA,barrier-jump,0.913002738453421,57.89,1.247,False
114,KEFCC4,,1,fam,barrier-jump,0.9298280085898222,59.855,0.034,False
115,KEFCC4,,2,fam,barrier-jump,0.8821008884012154,54.451,4.25,False
116,KEFCC4,,3,fam,barrier-jump,0.8659460403069764,55.392,3.227,False
117,KEFCC4,,4,fam,barrier-jump,0.8035775136489135,21.709,14.29,True
118,KEFCC4,,5,fam,barrier-jump,0.8511021528517041,24.057,4.338,True
119,KEFCC4,,6,fam,barrier-jump,0.7740297288562995,10.104,5.828,True
120,KEFCC4,,7,testA,barrier-jump,0.8197332515868077,13.913,3.44,True
121,KEFCC4,,8,testB,barrier-jump,0.8324643417779984,10.482,3.857,True
122,KEFCC4,,9,testA,barrier-jump,0.7922541307190717,10.07,3.727,True
123,KEFCC4,,10,testB,barrier-jump,0.7728555559250838,20.898,13.093,True
124,KNRZ66,,1,fam,barrier-jump,0.8888965973052485,37.322,19.256,False
125,KNRZ66,,2,fam,barrier-jump,0.918000387263212,24.974,8.279,True
126,KNRZ66,,3,fam,barrier-jump,0.8816091976846967,33.778,17.03,True
127,KNRZ66,,4,fam,barrier-jump,0.885586614944996,44.861,13.07,False
128,KNRZ66,,5,fam,barrier-jump,0.907224809694158,32.696,12.613,True
129,KNRZ66,,6,fam,barrier-jump,0.9180098770062128,4.751,5.811,True
130,KNRZ66,,7,testA,barrier-jump,0.8531526065928675,6.965,6.665,False
131,KNRZ66,,8,testA,barrier-jump-repeat-1,0.8206654700780669,10.972,4.37,True
132,KNRZ66,,9,testB,barrier-jump,0.9236925070917148,9.266,6.215,True
133,KNRZ66,,10,testA,barrier-jump,0.9445477979523796,6.706,3.032,True
134,KNRZ66,,11,testB,barrier-jump,0.849770125761554,13.405,4.582,True
