,child_id,video_onset,trial_type,absolute_onset,absolute_offset,trial_type_onset,trial_type_offset,parentEnded,relative_onset,relative_offset,fam_or_test,scene,trial_number
0,BdUV4B,2021-08-11 12:38:06.493,fam-pit,2021-08-11 12:38:11.540,2021-08-11 12:38:56.615,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,False,5047.0,50122.0,fam,pit,1
0,BdUV4B,2021-08-11 12:38:06.493,fam-pit,2021-08-11 12:39:01.226,2021-08-11 12:39:46.309,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,False,54733.0,99816.0,fam,pit,2
0,BdUV4B,2021-08-11 12:38:06.493,fam-pit,2021-08-11 12:39:51.013,2021-08-11 12:40:36.095,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,False,104520.0,149602.0,fam,pit,3
0,BdUV4B,2021-08-11 12:38:06.493,fam-pit,2021-08-11 12:40:40.726,2021-08-11 12:40:57.615,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,False,154233.0,171122.0,fam,pit,4
0,BdUV4B,2021-08-11 12:38:06.493,fam-pit-repeat-1,2021-08-11 12:41:08.581,2021-08-11 12:41:53.659,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,False,182088.0,227166.0,fam,pit-repeat-1,5
0,BdUV4B,2021-08-11 12:38:06.493,fam-pit,2021-08-11 12:41:58.328,2021-08-11 12:42:07.515,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,True,231835.0,241022.0,fam,pit,6
0,BdUV4B,2021-08-11 12:38:06.493,fam-pit,2021-08-11 12:42:12.094,2021-08-11 12:42:37.064,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,True,245601.0,270571.0,fam,pit,7
0,BdUV4B,2021-08-11 12:38:06.493,fam-pit,2021-08-11 12:42:41.678,2021-08-11 12:42:54.978,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,True,275185.0,288485.0,fam,pit,8
0,BdUV4B,2021-08-11 12:38:06.493,testB-pit,2021-08-11 12:42:57.486,2021-08-11 12:43:16.051,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,True,290993.0,309558.0,testB,pit,9
0,BdUV4B,2021-08-11 12:38:06.493,testA-pit,2021-08-11 12:43:18.089,2021-08-11 12:43:30.357,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,True,311596.0,323864.0,testA,pit,10
0,cCTcCV,2021-08-11 16:38:06.501,fam-pit,2021-08-11 16:38:12.664,2021-08-11 16:38:39.927,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,True,6163.0,33426.0,fam,pit,1
0,cCTcCV,2021-08-11 16:38:06.501,fam-pit,2021-08-11 16:38:44.892,2021-08-11 16:39:30.032,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,False,38391.0,83531.0,fam,pit,2
0,cCTcCV,2021-08-11 16:38:06.501,fam-pit,2021-08-11 16:39:35.144,2021-08-11 16:39:57.052,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,True,88643.0,110551.0,fam,pit,3
0,cCTcCV,2021-08-11 16:38:06.501,fam-pit,2021-08-11 16:40:01.999,2021-08-11 16:40:16.834,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,True,115498.0,130333.0,fam,pit,4
0,cCTcCV,2021-08-11 16:38:06.501,fam-pit,2021-08-11 16:40:21.831,2021-08-11 16:40:28.807,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,True,135330.0,142306.0,fam,pit,5
0,cCTcCV,2021-08-11 16:38:06.501,fam-pit,2021-08-11 16:40:33.685,2021-08-11 16:40:39.674,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,True,147184.0,153173.0,fam,pit,6
0,cCTcCV,2021-08-11 16:38:06.501,fam-pit,2021-08-11 16:40:44.676,2021-08-11 16:40:52.246,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,True,158175.0,165745.0,fam,pit,7
0,cCTcCV,2021-08-11 16:38:06.501,testB-pit,2021-08-11 16:40:54.931,2021-08-11 16:41:03.935,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,True,168430.0,177434.0,testB,pit,8
0,cCTcCV,2021-08-11 16:38:06.501,testA-pit,2021-08-11 16:41:06.254,2021-08-11 16:41:15.430,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,True,179753.0,188929.0,testA,pit,9
0,VZEFXF,2021-08-11 23:18:32.312,fam-pit,2021-08-11 23:18:37.146,2021-08-11 23:19:22.186,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,False,4834.0,49874.0,fam,pit,1
0,VZEFXF,2021-08-11 23:18:32.312,fam-pit,2021-08-11 23:19:26.772,2021-08-11 23:20:11.804,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,False,54460.0,99492.0,fam,pit,2
0,VZEFXF,2021-08-11 23:18:32.312,fam-pit,2021-08-11 23:20:16.451,2021-08-11 23:21:01.507,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,False,104139.0,149195.0,fam,pit,3
0,VZEFXF,2021-08-11 23:18:32.312,fam-pit,2021-08-11 23:21:06.090,2021-08-11 23:21:51.128,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,False,153778.0,198816.0,fam,pit,4
0,VZEFXF,2021-08-11 23:18:32.312,fam-pit,2021-08-11 23:21:55.760,2021-08-11 23:22:21.928,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,True,203448.0,229616.0,fam,pit,5
0,VZEFXF,2021-08-11 23:18:32.312,fam-pit,2021-08-11 23:22:26.473,2021-08-11 23:22:40.172,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,True,234161.0,247860.0,fam,pit,6
0,VZEFXF,2021-08-11 23:18:32.312,fam-pit,2021-08-11 23:22:44.761,2021-08-11 23:22:52.870,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,True,252449.0,260558.0,fam,pit,7
0,VZEFXF,2021-08-11 23:18:32.312,testB-pit,2021-08-11 23:22:55.194,2021-08-11 23:23:03.596,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,True,262882.0,271284.0,testB,pit,8
0,VZEFXF,2021-08-11 23:18:32.312,testA-pit,2021-08-11 23:23:05.614,2021-08-11 23:23:13.572,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,True,273302.0,281260.0,testA,pit,9
0,2X2HHM,2021-08-12 12:13:30.232,fam-pit,2021-08-12 12:13:35.167,2021-08-12 12:14:05.084,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,True,4935.0,34852.0,fam,pit,1
0,2X2HHM,2021-08-12 12:13:30.232,fam-pit,2021-08-12 12:14:09.642,2021-08-12 12:14:33.005,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,True,39410.0,62773.0,fam,pit,2
0,2X2HHM,2021-08-12 12:13:30.232,fam-pit,2021-08-12 12:14:37.673,2021-08-12 12:14:53.896,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,True,67441.0,83664.0,fam,pit,3
0,2X2HHM,2021-08-12 12:13:30.232,fam-pit,2021-08-12 12:14:58.454,2021-08-12 12:15:08.433,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,True,88222.0,98201.0,fam,pit,4
0,2X2HHM,2021-08-12 12:13:30.232,fam-pit,2021-08-12 12:15:12.989,2021-08-12 12:15:23.075,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,True,102757.0,112843.0,fam,pit,5
0,2X2HHM,2021-08-12 12:13:30.232,fam-pit,2021-08-12 12:15:27.590,2021-08-12 12:15:38.136,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,True,117358.0,127904.0,fam,pit,6
0,2X2HHM,2021-08-12 12:13:30.232,fam-pit,2021-08-12 12:15:42.752,2021-08-12 12:16:07.258,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,True,132520.0,157026.0,fam,pit,7
0,2X2HHM,2021-08-12 12:13:30.232,fam-pit,2021-08-12 12:16:11.799,2021-08-12 12:16:22.540,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,True,161567.0,172308.0,fam,pit,8
0,2X2HHM,2021-08-12 12:13:30.232,testA-pit,2021-08-12 12:16:24.895,2021-08-12 12:16:34.898,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,True,174663.0,184666.0,testA,pit,9
0,2X2HHM,2021-08-12 12:13:30.232,testB-pit,2021-08-12 12:16:37.026,2021-08-12 12:16:48.330,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,True,186794.0,198098.0,testB,pit,10
0,2X2HHM,2021-08-12 12:13:30.232,testB-pit,2021-08-12 12:16:50.184,2021-08-12 12:17:03.988,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,True,199952.0,213756.0,testB,pit,11
0,2X2HHM,2021-08-12 12:13:30.232,testA-pit,2021-08-12 12:17:05.823,2021-08-12 12:17:16.215,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,True,215591.0,225983.0,testA,pit,12
0,2X2HHM,2021-08-12 12:13:30.232,testA-pit,2021-08-12 12:17:39.948,2021-08-12 12:17:47.298,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,True,249716.0,257065.99999999997,testA,pit,13
0,2X2HHM,2021-08-12 12:13:30.232,testB-pit,2021-08-12 12:17:49.235,2021-08-12 12:18:05.116,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,True,259003.0,274884.0,testB,pit,14
0,UNEMSS,2021-08-12 15:18:17.558,fam-pit,2021-08-12 15:18:23.896,2021-08-12 15:19:08.955,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,False,6338.0,51397.0,fam,pit,1
0,UNEMSS,2021-08-12 15:18:17.558,fam-pit,2021-08-12 15:19:13.764,2021-08-12 15:19:58.819,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,False,56206.0,101261.0,fam,pit,2
0,UNEMSS,2021-08-12 15:18:17.558,fam-pit,2021-08-12 15:20:03.796,2021-08-12 15:20:48.859,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,False,106238.0,151301.0,fam,pit,3
0,UNEMSS,2021-08-12 15:18:17.558,fam-pit,2021-08-12 15:20:53.750,2021-08-12 15:21:35.917,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,True,156192.0,198359.0,fam,pit,4
0,UNEMSS,2021-08-12 15:18:17.558,fam-pit,2021-08-12 15:21:40.942,2021-08-12 15:21:56.659,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,True,203384.0,219101.0,fam,pit,5
0,UNEMSS,2021-08-12 15:18:17.558,fam-pit,2021-08-12 15:22:01.361,2021-08-12 15:22:08.320,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,True,223803.0,230762.0,fam,pit,6
0,UNEMSS,2021-08-12 15:18:17.558,fam-pit,2021-08-12 15:22:13.175,2021-08-12 15:22:20.316,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,True,235617.0,242758.0,fam,pit,7
0,UNEMSS,2021-08-12 15:18:17.558,testB-pit,2021-08-12 15:22:23.738,2021-08-12 15:23:08.795,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,False,246180.0,291237.0,testB,pit,8
0,UNEMSS,2021-08-12 15:18:17.558,testA-pit,2021-08-12 15:23:11.422,2021-08-12 15:23:23.487,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,True,293864.0,305929.0,testA,pit,9
0,UNEMSS,2021-08-12 15:18:17.558,testA-pit,2021-08-12 15:23:34.648,2021-08-12 15:23:45.513,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,True,317090.0,327955.0,testA,pit,10
0,UNEMSS,2021-08-12 15:18:17.558,testB-pit,2021-08-12 15:23:48.037,2021-08-12 15:24:08.835,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,True,330479.0,351277.0,testB,pit,11
0,27QE25,2021-08-13 16:36:27.252,fam-pit,2021-08-13 16:36:32.388,2021-08-13 16:37:17.476,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,False,5136.0,50224.0,fam,pit,1
0,27QE25,2021-08-13 16:36:27.252,fam-pit,2021-08-13 16:37:22.240,2021-08-13 16:38:07.277,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,False,54988.0,100025.0,fam,pit,2
0,27QE25,2021-08-13 16:36:27.252,fam-pit,2021-08-13 16:38:11.935,2021-08-13 16:38:56.474,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,True,104683.0,149222.0,fam,pit,3
0,27QE25,2021-08-13 16:36:27.252,fam-pit,2021-08-13 16:39:01.096,2021-08-13 16:39:46.131,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,False,153844.0,198879.0,fam,pit,4
0,27QE25,2021-08-13 16:36:27.252,fam-pit,2021-08-13 16:39:50.875,2021-08-13 16:40:35.910,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,False,203623.0,248658.0,fam,pit,5
0,27QE25,2021-08-13 16:36:27.252,fam-pit,2021-08-13 16:40:40.494,2021-08-13 16:41:16.017,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,True,253242.0,288765.0,fam,pit,6
0,27QE25,2021-08-13 16:36:27.252,fam-pit,2021-08-13 16:41:20.728,2021-08-13 16:41:59.308,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,True,293476.0,332056.0,fam,pit,7
0,27QE25,2021-08-13 16:36:27.252,fam-pit,2021-08-13 16:42:04.071,2021-08-13 16:42:34.774,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,True,336819.0,367522.0,fam,pit,8
0,27QE25,2021-08-13 16:36:27.252,testA-pit,2021-08-13 16:42:37.056,2021-08-13 16:43:22.094,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,False,369804.0,414842.0,testA,pit,9
0,27QE25,2021-08-13 16:36:27.252,testB-pit,2021-08-13 16:43:24.359,2021-08-13 16:43:31.215,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,True,417107.0,423963.0,testB,pit,10
0,27QE25,2021-08-13 16:36:27.252,testB-pit,2021-08-13 16:43:33.149,2021-08-13 16:43:39.857,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,True,425897.0,432605.0,testB,pit,11
0,27QE25,2021-08-13 16:36:27.252,testA-pit,2021-08-13 16:43:41.827,2021-08-13 16:43:58.554,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,True,434575.0,451302.0,testA,pit,12
0,2LNJF7,2021-08-16 20:55:18.482,fam-pit,2021-08-16 20:55:23.859,2021-08-16 20:56:08.889,exp-lookit-video-infant-control:videoStarted,exp-lookit-video-infant-control:videoPaused,False,5377.0,50407.0,fam,pit,1
